"","thorax_temp"
"1",500
"2",25.2855683569683
"3",500
"4",500
"5",10.2636857376374
"6",83.9242628174829
"7",38.9054032655017
"8",113.036632765356
"9",31.010723377295
"10",66.066077267124
"11",70.9361490151188
"12",117.877953592041
"13",96.4478344704733
"14",500
"15",16.0246112495557
"16",85.4379825501317
"17",22.2855543587151
"18",72.421085732555
"19",44.0267916791326
"20",15.4239081997599
"21",46.3983717476837
"22",36.4007017212695
"23",119.463628566508
"24",12.2429403900488
"25",500
"26",37.2478326604663
"27",500
"28",21.5042636864304
"29",37.5056931372417
"30",500
"31",90.5532832399108
"32",125.344620914199
"33",500
"34",117.774053681156
"35",31.20470402589
"36",25.515489391134
"37",72.4590672567675
"38",13.6680151243543
"39",51.1074313551318
"40",46.6020419826767
"41",21.6888969759776
"42",36.0928460805848
"43",500
"44",66.4278901269768
"45",16.9733019871029
"46",500
"47",500
"48",53.2581131620301
"49",42.928674918139
"50",113.672673530383
"51",116.711862141639
"52",34.6073389706674
"53",64.5720804237758
"54",114.560078106775
"55",500
"56",33.0740635483014
"57",500
"58",31.317584510122
"59",14.9122865964975
"60",17.7646251897239
"61",10.8379127584722
"62",11.2637983158947
"63",500
"64",61.1108053937662
"65",51.7810417075472
"66",500
"67",500
"68",31.9851893095534
"69",106.191195492406
"70",43.1860326198387
"71",48.8375682641693
"72",500
"73",33.8216982666532
"74",44.5937091700447
"75",7.3066395252556
"76",28.9031595738352
"77",500
"78",48.5577055856792
"79",8.683850024278
"80",500
"81",23.2130063573729
"82",47.0465064708707
"83",17.5946822742218
"84",64.6085919263801
"85",26.7988745945894
"86",16.6891704032917
"87",63.4355989208798
"88",110.351249239445
"89",58.8796215665175
"90",34.847737854564
"91",4.53689071696408
"92",500
"93",42.7983579776575
"94",32.9229652862408
"95",59.7832757471126
"96",500
"97",83.7067005709371
"98",500
"99",500
"100",500
"101",500
"102",500
"103",16.1348480016821
"104",101.93227969512
"105",120.557143571208
"106",500
"107",117.551150554275
"108",500
"109",500
"110",79.2232547761965
"111",9.3041550550704
"112",500
"113",500
"114",15.89127045444
"115",49.2937075825391
"116",49.2529954491673
"117",500
"118",28.9857789888146
"119",67.4954090697531
"120",17.4808260913463
"121",500
"122",30.4958933990606
"123",13.0560562452612
"124",16.4878025250507
"125",108.333569588672
"126",500
"127",500
"128",101.689578410405
"129",500
"130",22.7182332827691
"131",31.8571720491954
"132",18.9422382614557
"133",54.8767508234899
"134",500
"135",16.7080465589686
"136",15.3988906717354
"137",28.0730012350049
"138",500
"139",60.2169310572855
"140",500
"141",5.25357215940693
"142",17.6606088707107
"143",35.3206486228834
"144",9.69945646793587
"145",112.462254183273
"146",500
"147",38.4242572018097
"148",40.2809261907798
"149",59.9111848037971
"150",23.2728657264135
"151",20.4520335891992
"152",47.3839187986584
"153",500
"154",118.814547920789
"155",95.7101487028505
"156",53.0188004823084
"157",62.566333196275
"158",104.980871043051
"159",500
"160",65.9188665615072
"161",27.2413411594871
"162",8.87486289142026
"163",500
"164",36.1683558898166
"165",118.785896051741
"166",500
"167",25.0941253894483
"168",16.309120478856
"169",500
"170",500
"171",19.6268341367727
"172",17.4875238797039
"173",64.136652781985
"174",35.4604557555656
"175",58.3141922500763
"176",55.0055464491579
"177",500
"178",50.385338386024
"179",69.0161336443879
"180",113.724849012527
"181",32.845151299894
"182",105.106997204274
"183",19.6078894057046
"184",500
"185",10.5048279810074
"186",84.0172447872709
"187",33.6803521436935
"188",500
"189",500
"190",104.382185416972
"191",117.657262050044
"192",20.49417175928
"193",31.208749851708
"194",500
"195",25.0029890316763
"196",45.6360111488448
"197",500
"198",62.8662721683266
"199",500
"200",54.5046487558885
"201",47.0099181117299
"202",500
"203",118.607983818093
"204",500
"205",500
"206",500
"207",500
"208",39.8331640802078
"209",500
"210",22.4205280278189
"211",23.1607342045095
"212",62.0813434396557
"213",500
"214",20.9609840801724
"215",29.0388622612762
"216",45.7676219701604
"217",500
"218",69.4933259883451
"219",37.921384762051
"220",500
"221",53.4991184313839
"222",31.1395896632569
"223",14.7755080226661
"224",12.4533180675805
"225",20.7106131608949
"226",19.7879007336492
"227",112.523874372923
"228",116.432022104197
"229",23.1257295171219
"230",500
"231",500
"232",35.4481875015467
"233",500
"234",30.8528307592534
"235",500
"236",500
"237",23.0406706838266
"238",67.3211943244016
"239",122.530859154239
"240",12.7247957610006
"241",17.3105909263496
"242",21.2371083020285
"243",500
"244",89.1491523663339
"245",71.9542315044192
"246",26.145898349178
"247",500
"248",500
"249",6.5499215189854
"250",41.0133309980138
"251",41.8041213816889
"252",23.0192924683914
"253",44.6195096253222
"254",500
"255",27.8821370547079
"256",500
"257",25.7988362194523
"258",500
"259",114.173534537402
"260",500
"261",61.2637189257135
"262",48.5541168899697
"263",42.0191673729321
"264",110.66441082016
"265",50.7978954021107
"266",28.596954931589
"267",17.8516276931566
"268",22.932283176079
"269",11.5980316048011
"270",8.8485721179452
"271",20.2186909389815
"272",38.3892259987091
"273",500
"274",500
"275",18.8688379986287
"276",51.8477840230768
"277",20.9545284171098
"278",45.3844050015601
"279",500
"280",63.8636023495849
"281",500
"282",36.8418444277956
"283",60.6263638049681
"284",22.2087035727038
"285",25.3466044304816
"286",500
"287",85.5036545992367
"288",38.5597488216601
"289",119.369770258532
"290",500
"291",19.3644787281731
"292",28.6374884079231
"293",9.92534450945664
"294",23.0627524987229
"295",84.230638237916
"296",21.0449921816996
"297",67.4634770850796
"298",500
"299",10.7139336249508
"300",500
"301",86.4952037513617
"302",22.2497745362018
"303",500
"304",111.696514932522
"305",500
"306",500
"307",500
"308",16.478979115923
"309",500
"310",46.7107242396559
"311",32.7977579437593
"312",62.449845236237
"313",500
"314",99.2409511682823
"315",41.9818252030815
"316",32.8742520170545
"317",18.043815576852
"318",38.4981250985003
"319",500
"320",37.9601011046946
"321",32.6620109040899
"322",36.1472743080849
"323",23.4661383495587
"324",13.2801530822295
"325",112.879757169071
"326",44.043745171432
"327",10.1079089264672
"328",2.07083452163249
"329",54.2501786828705
